DEPARTAMENTO,Municipio ,ID Estación,Estación,LONGITUD,LATITUD,Elevación,AÑO,EST,ENT,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE,VR ANUAL
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1974,1,1,,,,,,,,332.0,452.0,409.0,217.0,1.0,1411.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1975,1,1,88.0,128.0,187.0,154.0,203.0,197.0,272.0,179.0,444.0,435.0,150.0,129.0,2566.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1976,1,1,24.0,177.0,295.0,386.0,282.0,40.0,2.0,71.0,189.0,406.0,277.0,138.0,2287.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1977,1,1,6.0,91.0,145.0,170.0,188.0,175.0,225.0,139.0,194.0,287.0,206.0,185.0,2011.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1978,1,1,39.0,57.0,52.0,211.8,*,92.0,210.0,253.0,323.0,371.0,323.0,255.0,2186.8
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1979,1,1,32.0,29.0,134.0,380.0,255.0,403.0,47.0,*,420.0,210.0,258.0,78.0,2246.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1980,1,1,65.0,21.0,122.0,125.0,216.0,92.0,213.0,111.0,236.0,403.0,368.0,47.0,2019.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1981,1,1,100.0,63.0,70.0,399.0,394.0,194.0,152.0,243.0,262.0,301.0,172.0,126.0,2476.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1982,1,1,3.0,79.0,129.2,127.0,340.0,17.0,25.0,9.0,284.0,384.0,,111.0,1663.2
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1983,1,1,98.0,44.0,157.0,358.0,288.0,194.0,151.0,56.0,175.0,219.6,28.4,138.7,1907.7
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1984,1,1,9.4,129.5,129.2,120.9,353.2,309.8,215.0,209.0,233.2,308.8,184.2,55.0,2257.2
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1985,1,1,17.8,85.3,246.5,131.5,190.4,113.0,238.3,204.9,256.4,287.0,48.9,55.9,1875.9
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1986,1,1,130.0,133.5,33.9,301.5,288.4,137.5,95.1,124.7,139.1,395.7,224.9,31.5,2035.8
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1987,1,1,21.8,86.8,115.1,,207.8,37.0,309.0,82.0,145.8,316.3,202.4,95.1,1740.9
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,1988,1,1,20.2,66.9,74.7,302.0,264.0,.0,151.7,374.8,180.5,251.8,273.0,216.4,2176.0
